person,country
Indrani Mukherjee,India
Deeksha Joshi,India
Prashant Barot,India
Roshan Seth,India
Harsh Chhaya,India
Zohra Sehgal,India
Bharat Chawda,India
Gayatri Joshi,India
Mahesh Babu,India
Vishwajeet Pradhan,India
Zarine Khan,India
Deb Mukherjee,India
Priyanka Sharma,India
Chandan Prabhakar,India
Harpal Singh,India
Narain,India
Jiiva,India
Rituparna Sengupta,India
Vishal,India
Cheran,India
Geeta Basra,India
Amole Gupte,India
Shruti Seth,India
Shivam Patil,India
Haripriya,India
Amit Varma,India
Poonam Pandey,India
Saranya Ponvannan,India
Arjun Mathur,India
Ravinder Grewal,India
Poonam Sinha,India
Karanvir Bohra,India
Vikram Singh,India
Radha Ravi,India
Arunima Sinha,India
Lolita Chatterjee,India
Rasika Dugal,India
Vikas Kumar,India
Milind Soman,India
Saurabh Dubey,India
Usha Jadhav,India
Sunaina,India
Kamlesh Gill,India
Samuthirakani,India
Upendra Limaye,India
Rajshri Deshpande,India
Aditya Kumar,India
Sanjay Bhatia,India
Sonali Kulkarni,India
John Abraham,India
Sameera Reddy,India
Nana Patekar,India
Smita Jaykar,India
Vivek Yadav,India
Soori,India
Kathir,India
Ankit Yadav,India
Waheeda Rehman,India
Dhumal,India
Mukesh Rishi,India
Mala Sinha,India
Raaj Kumar,India
Leela Chitnis,India
Kumkum,India
Dulquer Salmaan,India
Prakash Raj,India
Raman Kumar,India
Jeeva,India
Partha Chakraborty,India
Manish Gupta,India
Raj N. Sippy,India
Balu Mahendra,India
Anil Sharma,India
Rajeev Patil,India
Luke Kenny,India
Amit Rai,India
Atanu Mukherjee,India
Basu Chatterjee,India
Pranav Singh,India
Kranti Redkar,India
Gulzar,India
Subhash Ghai,India
Amardeep Singh Gill,India
Buta Singh,India
Samir Karnik,India
Tinnu Anand,India
Pooja Bhatt,India
Pa. Ranjith,India
Radhu Karmakar,India
Sanjay Gupta,India
Partho Ghosh,India
Kranti Kanade,India
Nandita Das,India
Dhanush,India
Baljit Singh Deo,India
Sanjiv Jaiswal,India
Neeraj Pandey,India
Shoojit Sircar,India
Abbas Alibhai Burmawalla,India
Devika Bhagat,India
Luv Ranjan,India
Vikas Bahl,India
Mastan Alibhai Burmawalla,India
Shubham Singh,India
Umesh Shukla,India
Omung Kumar,India
Aakash Pandey,India
Siddharth Randeria,India
Smiley Suri,India
Leonard Stone,India
Neena Cheema,India
Ankush Choudhary,India
Kiran Rathod,India
Tulip Joshi,India
Vaishnavi Dhanraj,India
Asha Sarath,India
Leona Lishoy,India
Sandeep Bharadwaj,India
Nissar Khan,India
Kriti Kharbanda,India
Ananya Chatterjee,India
Anjali Nair,India
Avika Gor,India
Rajesh Kumar,India
Tej Sapru,India
Kranti Prakash Jha,India
Ashalata Wabgaonkar,India
Dheeraj Kumar,India
Anjali Abrol,India
Urvashi Rautela,India
Ayesha Takia,India
Neha Mahajan,India
Manava Naik,India
Raghuvaran,India
Viju Khote,India
Daisy Irani,India
Sarang Sathaye,India
Tanikella Bharani,India
Anu Sithara,India
Manpreet Singh,India
Pooja Tandon,India
Dolly Minhas,India
Ranjeeta Kaur,India
Usha Nadkarni,India
Ayesha Jhulka,India
Balu Varghese,India
Manasi Salvi,India
Anjan Dutt,India
Achala Sachdev,India
Daman Singh,India
Milind Gunaji,India
Kushal Chakraborty,India
Hari Shivdasani,India
Rajendra Kumar,India
Aparajita Adhya,India
Arvind Deshpande,India
Vyjayanthimala,India
Silk Smitha,India
Garry Sandhu,India
Swati Chitnis,India
Ashwin Mushran,India
Sayaji Shinde,India
Saadhika Randhawa,India
Usha,India
Vitthal Patil,India
Jazzy B,India
Monica Bedi,India
Sabitha Jayaraj,India
Tanuj Virwani,India
Pari Telang,India
Chinmay Mandlekar,India
Lushin Dubey,India
Sudhir Joshi,India
Nilu Phule,India
Ram Gopal Bajaj,India
Anand Abhyankar,India
Jugal Hansraj,India
Suparna Marwah,India
Khalid Siddiqui,India
Nikita Sharma,India
Hemant Pandey,India
Charu Asopa,India
Sahil Uppal,India
Karan Suchak,India
Rohit Bakshi,India
Monica Khanna,India
Beena Kak,India
Reema Debnath,India
Ajit Vachani,India
Abigail Jain,India
Umang Jain,India
Ankit Gera,India
Viraf Patel,India
Siddhant Karnick,India
Varun Kapoor,India
Biswajit Chakraborty,India
Arjun Chakrabarty,India
Aarohi Patel,India
Sneha Ullal,India
Rishina Kandhari,India
Deepankar De,India
Pratik Gandhi,India
Payel Sarkar,India
Malhar Thakar,India
Rajat Ganguly,India
Janani Iyer,India
Chandrachur Singh,India
Joy Mukherjee,India
Damandeep Singh Baggan,India
Baba Sehgal,India
Shanawas,India
Jayakrishnan,India
Seema,India
Sharad Ponkshe,India
Smita Shewale,India
Asha Parekh,India
Umesh Kamat,India
Smita Bansal,India
Mallika Sarabhai,India
Ashok Shinde,India
Arun Nalawade,India
Grace Antony,India
Kochu Preman,India
Prakash Bare,India
Shivaji Guruvayoor,India
Kulappulli Leela,India
Sangeetha Mohan,India
Himesh Reshammiya,India
Dino Morea,India
Prashant Narayanan,India
Makarand Deshpande,India
Swastika Mukherjee,India
Santu Mukherjee,India
Shweta Prasad,India
Bratya Basu,India
Amruta Patki,India
Vinay Forrt,India
Mrinalini Sharma,India
Vishnu Vinay,India
Pinchoo Kapoor,India
Saikumar,India
Saira Banu,India
Karishma Tanna,India
Jaspal Bhatti,India
Makarand Anaspure,India
Tanishaa Mukerji,India
Rosin Jolly,India
Sasi Kalinga,India
Esther Anil,India
Mandira Bedi,India
Gurjit Singh,India
Moushumi Chatterjee,India
Jaspinder Cheema,India
Gagandeep Singh,India
P. Balachandran,India
Tara Deshpande,India
Ekavali Khanna,India
Pammi Bai,India
Mahima Chaudhry,India
Preeti Gupta,India
Gurpreet Ghuggi,India
Himanshu Sharma,India
Indrasish Roy,India
Seema Rahmani,India
Shataf Figar,India
Sudip Mukherjee,India
Bhanu Uday,India
Sumeet Nijhawan,India
Sudheer Karamana,India
Antara Mali,India
Isha Keskar,India
Pooja Sawant,India
Tini Tom,India
Lily Chakravarty,India
Gaurav Chakrabarty,India
Ritabhari Chakraborty,India
Krishna Bhatt,India
Guru Singh,India
Anjul Nigam,India
Mir Afsar Ali,India
Tanusree Chakraborty,India
Anirban Bhattacharya,India
Om Prakash,India
Keshto Mukherjee,India
Satarupa Pyne,India
Avani Modi,India
Akanksha Puri,India
Deepak Wadhwa,India
Ruhi Singh,India
Mita Vashisht,India
Keith Sequeira,India
Kyra Dutt,India
Sunil Sukhada,India
Hareesh Perumanna,India
Shamita Shetty,India
Raj Premi,India
Supriya Karnik,India
Smita Patil,India
Rajesh Khanna,India
Usha Kiran,India
Harish Patel,India
Mukesh Khanna,India
Bharat Kapoor,India
Durga Khote,India
Twinkle Khanna,India
Additi Gupta,India
Benjamin Gilani,India
Milind Shinde,India
Uttara Baokar,India
Kiran Karmarkar,India
Zeeshan Ali,India
Abhinav Shukla,India
Gautam Gulati,India
Gashmeer Mahajani,India
Heena Parmar,India
Anushka Manchanda,India
Satish Sharma,India
Ravi Kumar,India
Reena Aggarwal,India
Palash Sen,India
Natasha Sinha,India
Suman Banerjee,India
Subiksha,India
Sudipta Chakraborty,India
Rajneesh Duggal,India
Indrani Haldar,India
Anupam Shyam,India
Anjori Alagh,India
Harpreet Singh,India
Ira Dubey,India
Rajeshwari,India
Dhruv Ganesh,India
Ajit,India
Rita Bhaduri,India
Sudha Shivpuri,India
Mukul Dev,India
Deepa Sahi,India
Goga Kapoor,India
Shriswara,India
Vivek Mushran,India
Suchitra Krishnamoorthi,India
Surendra Pal,India
Satyadev Dubey,India
Mamta Kulkarni,India
Sunder,India
Sudhir,India
Rajendra Nath,India
Amit Shah,India
Sakshi Tanwar,India
Yunus Parvez,India
Mayilsamy,India
Puneet Issar,India
Suhani Bhatnagar,India
Bela Bose,India
Rashid Khan,India
Meena T.,India
Kalpana,India
Randhir,India
Pratima Devi,India
Bipin Gupta,India
Dulari,India
Prem Nath,India
Sunil Dutt,India
Sanjeev Kumar,India
Paintal,India
Nutan,India
Murad,India
Pallavi Joshi,India
Shafi Inamdar,India
Roopesh Kumar,India
Mahendra Sandhu,India
Rajiv Kapoor,India
Sonam,India
Monty Sharma,India
Faryal,India
Divya Rana,India
Dev Kumar,India
Padmini,India
Agha,India
Vidyut Jamwal,India
Shashikala,India
Sharad Kelkar,India
William Davis,India
Achyut Potdar,India
Mandakini,India
Vinod Mehra,India
Rekha,India
Sunny Deol,India
Kunal Nayyar,India
Lilliput,India
Varsha Usgaonkar,India
Suresh,India
Kirron Kher,India
Jinu Joseph,India
Chandini Sreedharan,India
Pooja Chopra,India
Juhi Babbar,India
Kishori Shahane,India
Shriya Sharma,India
Monikangana Dutta,India
Neha,India
Rahul Bhatt,India
Rahul Kumar,India
Mahek Chahal,India
Nitish Bharadwaj,India
Pradeep Nagar,India
Asha Sachdev,India
Bikram Saluja,India
Narendra Jha,India
Piyush Mishra,India
Bappi Lahiri,India
Mushtaq Khan,India
Vijay Crishna,India
Suhel Seth,India
Shreya Sharma,India
Kabir Bedi,India
Navin Prabhakar,India
Chitrashi Rawat,India
Vivaan Shah,India
Sudhir Pandey,India
Irfan Khan,India
Vadivelu,India
Samrat Chakrabarti,India
Urmila Mahanta,India
Sudheer Babu,India
Usha Uthup,India
Tiger Shroff,India
Nidhi Singh,India
Sanjay Singh,India
Paras Arora,India
Amitosh Nagpal,India
Tarun Khanna,India
Arun Mukherjee,India
Rajat Barmecha,India
Kulraj Randhawa,India
Lakshmi Rai,India
Dev Gill,India
Sheetal Singh,India
Kashish Singh,India
Hussain Dalal,India
Ganesh Venkatraman,India
Sreejith Ravi,India
Sippy Gill,India
Miss Pooja,India
Vikram,India
Jarnail Singh,India
Bosskey,India
Feroze Khan,India
RJ Balaji,India
Parvathy Omanakuttan,India
Arunoday Singh,India
Isha Rikhi,India
Sujan Mukherjee,India
Satinder Sartaaj,India
Priyanka Kothari,India
Ravi Kale,India
Jimmy Sharma,India
Gautam Rode,India
Lakshmi Priyaa Chandramouli,India
Pallavi Patil,India
Hemangi Kavi,India
Shrikant Verma,India
Trupti Toradmal,India
Savita Prabhune,India
Indrans,India
Atul Kumar,India
Rajeshwari Sachdev,India
Gargi Roychowdhury,India
Lucky Ali,India
Meera Krishnan,India
Achint Kaur,India
Roshan,India
Arunima Ghosh,India
Tanuja,India
Sapna Bhavnani,India
Pankaj Jha,India
Jayaprakash,India
Soumitra Chatterjee,India
Ritika Singh,India
Jas Arora,India
Aadukalam Naren,India
Ashwath Bhatt,India
Dhritiman Chatterjee,India
Tannishtha Chatterjee,India
Indraneil Sengupta,India
Abhay Mahajan,India
Saswata Chatterjee,India
Riddhi Sen,India
Jaswinder Bhalla,India
Payal Rajput,India
Priti Sapru,India
Mukti Mohan,India
Sameer Dharmadhikari,India
Sonal Jha,India
Sharmin Segal,India
Parul Gulati,India
Sejal Kumar,India
Joy,India
Pulkit Samrat,India
Rajeev Gaursingh,India
Ritu Varma,India
Lalu Alex,India
Lal Jose,India
Urvashi,India
Suresh Gopi,India
Shobana,India
K.P.A.C. Lalitha,India
Priyanka Chopra,India
Chetan Pandit,India
Rahul Vohra,India
Salman Khan,India
Brij Gopal,India
Akhilendra Mishra,India
Chandrachoor Rai,India
Mohan Joshi,India
Bipasha Basu,India
Tillotama Shome,India
Dilnaz Irani,India
Mohan Agashe,India
Sulabha Arya,India
Ayub Khan,India
Anupriya Goenka,India
Geetanjali Kulkarni,India
Anita Kanwal,India
Rashi Mal,India
Supriya Pilgaonkar,India
Preeti Jhangiani,India
Rahul Dev,India
Aarti Chhabria,India
Amrita Arora,India
Manav Vij,India
Janhvi Kapoor,India
Krithi Shetty,India
Varun Sharma,India
Jaideep Ahlawat,India
Farrukh Jaffar,India
Manav Kaul,India
Shefali Shah,India
Tota Roy Chowdhury,India
Nawazuddin Siddiqui,India
Malaika Shenoy,India
Darsheel Safary,India
Tisca Chopra,India
Tanay Chheda,India
Sitaram Panchal,India
Fatima Sana Shaikh,India
Konkona Sen Sharma,India
Vinay Pathak,India
Murali Gopy,India
Mathew Thomas,India
Salim Kumar,India
Ranjit Barot,India
Jitendra Kumar,India
Raj Kapoor,India
Kaizad Gustad,India
Bauddhayan Mukherji,India
Manjeet Singh,India
Aniruddha Roy Chowdhury,India
Vetrimaaran,India
Amol Palekar,India
Mohammed Hussain,India
Farah Khan,India
Shammi Kapoor,India
Ananda Krishnan,India
Sriram Raghavan,India
Parthiban,India
Samit Basu,India
Shashanka Ghosh,India
Pawan Kumar,India
Mohit Suri,India
Mysskin,India
Shirish Kunder,India
Vipul Amrutlal Shah,India
Chakri Toleti,India
Sharan Sharma,India
Puneet Khanna,India
Ken Ghosh,India
Indra Kumar,India
Neeraj Vora,India
Harish Khanna,India
Kainaat Arora,India
Rajkiran,India
Vidyullekha Raman,India
Madonna Sebastian,India
